label,text
spam,"Hi, Make $300 daily working from home, no skills needed!  "
ham,"Note: Sending love from grandma, she misses you. Thanks."
ham,Note: Reminder: doctor's appointment at 9am tomorrow.  
ham,"Hi, Forgot to mention — bring an umbrella, supposed to rain."
spam,FYI: OFFICIAL NOTICE: Your email storage is full. Verify here or lose access.  
spam,FYI: Hot deals just for you! Buy 1 get 5 free supplements with free shipping.  
ham,"Hello, Hey, are we still meeting for coffee tomorrow at 10am?"
spam,Re: invoice attached — please wire payment by EOD or your account is closed.
spam,Note: Get cheap viagra online no prescription needed. Click here for 90% off. Cheers!
ham,FYI: Don't forget to bring the notes for the study session tonight. Thanks.
ham,"Hi, Order #4521 has shipped and will arrive by Friday.  "
ham,"Hello, Can we move the call to 4pm? Something came up.  "
spam,FYI: Limited slots: secure your spot in our exclusive trading program now.  
ham,Note: Can we postpone? I'm not feeling well today.
spam,"FYI: URGENT! You have won a $1,000 Walmart gift card. Click here to claim now!"
ham,"Hi, New blog post is up: 10 tips for productive remote work."
spam,Note: You have inherited $20 million from a deceased Nigerian prince. Cheers!
ham,"Hi, Quick question — do you still have my charger? Cheers!"
spam,Refinance your mortgage at 0.99% APR — pre-approved instantly.
ham,"Hello, Following up on my previous email — any updates?  "
ham,"Flight delayed two hours, will text you when I board. Thanks."
spam,Romantic Russian women are waiting to meet you. Sign up free! Best regards.
ham,Congrats on the promotion! Drinks on me this weekend. Cheers!
spam,"Hello, Your account has been suspended. Verify your identity at http://paypa1-secure.com immediately. "
ham,"Hey, are we still meeting for coffee tomorrow at 10am? Thanks."
ham,"Hello, Loved the cake you made for the office party!"
spam,"Hello, Refinance your mortgage at 0.99% APR — pre-approved instantly. Thanks."
ham,"Hi, Tickets for the concert are confirmed for two.  "
spam,"Hi, Your number has been chosen for a guaranteed cash prize of £1,500. Thanks."
ham,"Hi, Picking the kids up from school today, you don't have to."
spam,"Make $300 daily working from home, no skills needed! Thanks."
spam,"Hello, Save the date: our annual summer sale starts June 1st! Thanks."
spam,Your package could not be delivered. Reschedule at http://bit.ly/2xfake-dhl 
spam,"Your number has been chosen for a guaranteed cash prize of £1,500."
ham,"Hello, Reminder: rent is due on the 1st, transfer when you can.  "
ham,Quick question — do you still have my charger?
ham,Note: Welcome to the team! Looking forward to working with you.  
ham,Don't forget to bring the notes for the study session tonight.
spam,FYI: Claim your Amazon refund now. Click http://amaz0n-refund.co/claim Best regards.
spam,"Hi, Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry."
spam,"Hello, Hot singles in your area want to meet you tonight. Click here! Best regards."
spam,"Hello, OFFICIAL NOTICE: Your email storage is full. Verify here or lose access. Thanks."
ham,"Hi, Reminder: rent is due on the 1st, transfer when you can. Thanks."
ham,"Sending you the recipe later, it's super easy."
spam,"Limited time only: free trial of our diet pills, click now."
ham,"Hi, Just a reminder that the office will be closed Monday for the holiday. Cheers!"
spam,"Hi, Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry. "
spam,FYI: Click here to verify your Netflix billing information or your account will be terminated. Cheers!
ham,Happy birthday! Hope you have an amazing day with the family.
spam,You won a free cruise to the Bahamas! Confirm your booking now.
ham,"Hello, Just finished the report, sending it to you by email shortly."
spam,Note: Verify your Apple ID now to avoid suspension at app1eid-login.com Cheers!
spam,FYI: You won a free cruise to the Bahamas! Confirm your booking now. Best regards.
ham,"Hello, Welcome to the team! Looking forward to working with you. Thanks."
ham,"Hello, Your Uber driver is 2 minutes away.  "
ham,"Reminder: rent is due on the 1st, transfer when you can."
spam,"Hello, Get rich quick with this one weird trick! Doctors hate him. Cheers!"
ham,Just a reminder that the office will be closed Monday for the holiday.
ham,"I'll be at the gym from 6 to 7, ping me after."
ham,"Hello, Tickets for the concert are confirmed for two. Cheers!"
ham,"Hi, Running 5 minutes late, sorry! Order the usual for me please."
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry.
spam,"FYI: Buy one, get one half off on all coffee blends this week. Best regards."
spam,"Hi, Claim your gift card now! Just complete this quick survey. Cheers!"
ham,"Hello, Just finished the report, sending it to you by email shortly. Cheers!"
ham,"FYI: I attached the budget spreadsheet, please review section 3. Best regards."
spam,"Hi, Click here to remove the malware found on your device. Best regards."
ham,"Running 5 minutes late, sorry! Order the usual for me please. "
spam,"FYI: You've been pre-approved for a $50,000 loan! No credit check required. Best regards."
spam,FYI: Hot deals just for you! Buy 1 get 5 free supplements with free shipping.
spam,Note: URGENT: your social security number has been suspended. Press 1 to speak to an agent.
ham,"Hi, Hi, just touching base on the proposal we discussed last week."
ham,"Hello, Don't forget to bring the notes for the study session tonight. Thanks."
spam,"Hello, Casino bonus: $1000 free chips when you sign up today! Best regards."
ham,Project status update attached. Let me know if you have questions. Thanks.
spam,FYI: Earn $5000 a week from home. No experience required. Apply now! Cheers!
spam,"Hello, Click here to confirm your subscription or lose access forever. Best regards."
spam,Click here to verify your Netflix billing information or your account will be terminated.  
spam,"URGENT! You have won a $1,000 Walmart gift card. Click here to claim now! Thanks."
spam,Your package could not be delivered. Reschedule at http://bit.ly/2xfake-dhl
spam,FYI: Wire transfer needed urgently. Please send $500 to account 8819-2341. 
ham,"Hello, Library books are due next Wednesday, just a heads up."
spam,FYI: Our newsletter is back — read the latest industry news. Best regards.
spam,"FYI: Buy one, get one half off on all coffee blends this week. Cheers!"
spam,OFFICIAL NOTICE: Your email storage is full. Verify here or lose access.
spam,Note: OFFICIAL NOTICE: Your email storage is full. Verify here or lose access. Cheers!
spam,Claim your gift card now! Just complete this quick survey.
spam,URGENT: your social security number has been suspended. Press 1 to speak to an agent. 
ham,"Hi, Hey, are we still meeting for coffee tomorrow at 10am?  "
ham,FYI: Could you review the PR I opened this morning?
ham,"Note: Working from home today, ping me on Slack if you need me."
spam,Our newsletter is back — read the latest industry news.
ham,"The interview went well, thanks for prepping me!"
spam,"FYI: You've been pre-approved for a $50,000 loan! No credit check required. Best regards."
spam,"URGENT! You have won a $1,000 Walmart gift card. Click here to claim now!"
spam,Spring sale at Nike! 20% off all running shoes this weekend. 
ham,Loved the cake you made for the office party!  
